,content
8441,"Ass sy Rini Asal Sulsel alhamdulillah,kemarin pas trima rapor aku mendapatkan rengking 3 awalnya aku nggk prnh masuk 5 besar,hanya rengking 9 atau 8,setelah aku belajar di ruang guru alhamdulillah aku mendapatkan nilai yg memuaskan,TERIMAKASIH RUANG GURU😉"
8442,"Aplikasi ini sangat membantu saya dalam belajar , video beranimasi dan latihan soal nya sangat mudah di pahami , di tambah dengan rangkuman materi yang singkat dan gampang untuk di hafal , nilai UAS saya yang dari nya rata rata delapan sekarang naik jadi sembilan dan saya berhasil mendapat peringkat 1 di kelas saya , terimakasih ruangguru 🙏."
8443,"Pelajaran di ruang guru itu seru... banget nggak nyesel deh langganan disini, apalagi vidionya menarik dan gampang di pahami.. ini baru pertama aku pake ruang guru semoga nilai ku nanti bisa lebih bagus dan bisa jadi juara di kelas... Aammmiinnn... Terimakasih ruang guru"
8444,Aplikasi yang mudah di pelajari oleh anak anak ku terimakasih ruang guru
8445,"Aplikasi Ruang Guru membantu pelajar milineal dengan tutor menarik di setiap pelajarannya disertai dukungan animasi yang dapat dipahami dan disenangi oleh pelajar saat ini, mempermudah bagi pelajar untuk menyelesaikan kuis dan soal topik di setiap materinya😁"
8446,"Saya sangat cocok dengan aplikasi belajar ini karena sangat menarik, menariknya karena ada video animasi, latihan soal, dan ada juga Live teaching. Dan sangat mudah untuk dipahami."
8447,"aplikasi ruang guru adalah aplikasi belajar online no.1 di indonesia,belajar di ruang guru ini sangat menyenangkan dan sangat mudah dipahami karena tutor2nya sangat berpengalaman dan materinya disampaikan dengan vidio dan yang paling saya suka harganya sangat terjangkau sekali . terimakasih ruang guru .sukses selalu"
8448,"Seneng sama KK tutornya, membahas dengan tuntas dan tenang sehingga soal pun mudah terjawab, selain itu kita juga di kasih tips and trik cara cepat menjawab soal, pokonya kece abis deh, thanks RG(ruang guru)"
8449,Materi-materi dalam videonya mantul semua. Mudah dimengerti. Terima kasih Ruangguru.👍🤗
8450,"Ruang guru bagus banget. Teman teman yang belum coba buruan coba sekarang,apalagi dimasa pandemi sekarang yang sangat susah memahami pelajaran sekolah online. Dengan ruang guru kita dapat mudah memahami pelajaran yang tidak kita mengerti,juga diberi latihan topiknya jadi lebih bisa mencoba kemampuan belajar kita. Diruang guru kita juga bisa tau bagaimana cara mendapatkan rumus serta cara jitu untuk menghapal rumus. Bagi yang belum download,download sekarang 👍"
8451,"Uwwaww Akhir nya aku dpt nilai mtk 92 dari kkm Dan hasilnya banyak temen kls aku yg nanya ""Kok bisa di?!?,ko nyontek ya?!,blajar dri mana di?"" Ya aku jawab ""aku bimbel di hp"""
8452,"berdasarkan pengalaman yang ada pada saya untuk aplikasi ruang guru ini sudah cukup baik,dalam menyampaikan pembelajarannya,semoga kedepannya untuk aplikasi ruang guru semakin meningkat ya."
8453,hai guys... aku dah beli paketnya dan videonya keren!!! coba kalian pakai kode referral : ROBBENEABUHZ Kalian akan dapat diskon 40% dan akan lebih menguntungkan lagi.. Coba ya!!
8454,"Bagus banget kak aplikasinya, saya yang awalnya susah buat ngerjain tugas² dari guru jadi bisa kebantu dengan aplikasi ini,, dan video pembelajarannya juga pake animasi gitu,, jadi lebih cepat ngerti,, terimakasih ruang guru 😊"
8455,"Materinya kurang kak... padahal udh disesuaikan sama kurikulumnya,, pas saya mau belajar tentang materi di sekolah malah nggak ad,,mohon bantuannya kak. Saya jg suka sama aplikasi ruang guru ini sy jadi lebih mengerti dan paham, jadi pas pemateri di sekolah sy jadi cepat ngerti dan mendpatkan nilai +"
8456,"Ruangguru sangat membantu saya, ruangguru menjelaskan pelajaran yg sangat detail dan mudah dimengerti.. Ruangguru telah membantu saya dari ranking 6 dan bisa menjadi ranking 1.. Terima kasih Ruangguru"
8457,"Untuk Aplikasi Ruangguru_ suda bagus , hanya saran saya, saya harap bisa menyediakan salah satu video pembelajaran yang bisa di putar, karena sebagai pendorong untuk murid dan siswa berlangganan ke Ruangguru. Kesal Saat mau buka video ,harus brlangganan , sebagai pengguna butu contoh video pmbljaran, shingga kami bsa mlihat kualitas RUangguru bagus apa tidak. Ruang guru ok. Jika saran saya sangat mmbntu Ruangguru, saya mohon brrikan saya donasi uang secukpnya. Trmikash Ruangguru"
8458,"Awalnya saya tidak percaya diri dalam menjawab soal"" dari guruku, setelah saya cari"" dan menemukan ada aplikasi ruang guru, saya penasaran dan ingin mencobanya. Wah..., tidak bisa dipercaya, setelah saya mencoba aplikasi ruang guru ini, saya sekarang menjadi aktif dan percaya diri dalam menjawab soal"" yang di berikan oleh guruku. Terima Kasih Brainly. Ayo buruan di download aplikasi ini agar kalian menyesal, sukses terus Brainly😁"
8459,"Ini apk membuatku nyaman dalam belajar dan sangat seru menurutku ya.. Bahkan lengkap! Tapi hanya saran ya kak, untuk pelajar seperti aku tolong di permudah untuk belajar di apk ini di bidang pembayaran.. Karena saya menggunakan apk ini hanya memiliki modal dalam bentuk pulsa kak.. Hanya apk ini yang saya andalkan..Hanya apk ini yang bisa membuatku mengerti..agar aku semakin semangat dalam menggunakan apk ini sebagai pahlawan kesuksesanku.. Terimakasih telah menciptakan apk yang luar biasa ini 😍"
8460,"Aku selalu bersyukur karena bisa mengikuti bimbel yg terdahsyat terkece seperti ruang guru ini. Selama bergabung di ruang guru, aku makin belajar percaya diri untuk menjawab soal² yang ibu atau bapak guru kasih, padahal dulu diam, pemalu. Makasih ruang guru the best"
8461,"Dari dulu saya ingin mengikuti bimbel di Ruang guru, dari kelas 3 SMP. tapi waktu itu belum mendukung kondisi nya. Sekarang saya kelas 11 SMA , saya memberanikan diri untuk berbicara lagi sama orang tua saya untuk mengikuti bimbel tahun ini. Dan akhirnya, orang tua saya menyetujui nya . Waktu itu sedang ada diskon gede gede an 60% , waktu itu tgl 5 juni 2020. Saya sangat senang bisa belajar di Ruang Guru. Terima kasih Ruang guru♡♡♡"
8462,"kak ini kenapa pas ak mau buka video nya lg yg sblmnya udah ak download tp mlh ada tulisan ""file tidak ditemukan"" ak jadinya hrus nntn online atau ngga download lg dong kalo bgitu . apa emang video yg udah di download itu punya btas wktu savenya ??"
8463,Ruang guru sangat membantu ku. Aku sangat mengerti penjelasan yang diberikan oleh ruang guru biasanya di kelas aku tidak masuk rangking 10 besar Alhamdulillah setelah aku pakai aplikasi ruang guru aku masuk rangking 10 besar terimakasih ruang guru semoga ruang guru semakin banyak orang yang berminat berlangganan.
8464,"Aku seneng banget bisa belajar di ruang guru, simple gampang dipahami 😍. Enak aja bisa belajar di hp, dulu aja kalo main hp pasti jarang bahkan enggak pernah buat belajar. Karena sekarang ada ruang guru minat belajar aku yang semula turun, jadi meningkat lagi😁 nilai yang dulu awal mula karna hp jadi turun terus ada ruang guru jadi naik lagi 🤗🙂"
8465,"Bagus banget!!! Gak pernah kecewa sama Ruangguru, aplikasinya bagus banget dan seru banget! Belajar di Ruangguru berasa sambil main game, animasinya keren-keren, kreatif banget! Pokoknya gak bakal bosen dan malah bikin tambah semangat buat belajar! Thank U so much Ruangguru!!! 😇😇🥰🥰😁😁"
8466,"bantu banget buat anak full day. jadi aku kan pulang sekolah jam 5 terus rumah jauh dan macet nya itu lohhh, apalagi udh kelas 12. sampek rumah itu harus tidur dan bangun jam set 8 untuk persiapan les jam 9 dan selesi jam 10. dan ruang guru mbantu banget buat anak yg kegiatan nya full kayak aku dan bisa ngisi diwaktu waktu macet. istrirahat sekolah. makasih ruang guru"
8467,"aplikasi ruang guru ini bagus banget,padahal sebelum aku pake ruang guru ini nilaiku sering tidak sampai kkm,tetapi setelah pakai ruang guru ini aku bisa dapat ranking 3 di semester 1&dapat ranking 1 di semester 2. TERIMAKASIHRUANGGURU"
8468,"Saya sangat senang bisa belajar di Ruangguru, video pembelajaran nya menarik, rangkumannya singkat dan lebih mudah dipahami. Materi yang ada di Ruangguru juga sangat sesuai dengan yang di ajarkan di sekolah (malah lebih lengkap). SARANGHAE RUANGGURU❤❤❤"
8469,"Setelah berlanganan sama ruang guru,nilaiku naik terus.setiap ada pelajaran yang aku ngak ngerti aku langsung buka vidio pembahasan dari aplikasi ruang guru.temen temen aku ngira aku les di tempat lain,tapi aku cuma buka aplikasi ruang guru doang.aku jadi yakin dan semangat buat ngejar cita citaku.terima kasih ruang guru.🙏❤."
8470,"Bagus dan menarik.Tapi ada beberapa pelajaran yang tidak ada,seperti bahasa daerah,sbk,prakarya.Terus makin kesini itu makin lemot,padahal jaringan sama kuota masih aman. Mohon tingkatkan terus yaa. Semoga Ruangguru makin jaya.Amiin"
8471,Assalamualaikum.. alhamdulillah dengan aplikasi ruang guru sangat membantu saya dalam mengikuti semua pelatihan prakerja. Sungguh sangat membantu sekali atas ilmu ilmu tentang usaha yg telah diberikan melalui pelatihan webinar. Terimakasih ruang guru tambah jaya😊
8472,"Wowwwww,,,,,aplikasi belajar no.1 di indonesia 😘 Pertama saya peringkat 11 dikelas 10 semester satu,setelah saya berlangganan dengan ruang guru,alhamdulillah ada peningkatan,saya mendapatkan juara umum 3 di semester dua,terima kasih ruang guru🥳🥳🥳"
8473,"BAGUS BANGET BANGET NGET NGET NGET. MANTAP JIWAAAAAA BWANG.. KEREN DEH POKOKNYA. Dulu ku kira cuman promosi promosi aja di TV, eh pas nyoba ternyata yang di promosi in emng bener bener bermanfaat. yang kata nya ""mudah di mengerti, animasi nya asik, game nya seru"" yaaa aku udah buktiin, ternyata apk ini gak abal abal. THANK U RUANGGURU, SEMANGAT YA BWAAANGGG .... MUACH"
8474,"Baguss bangett, tapiu sayang nya aku MI bukan SD jadinya aku hanya bisa belajar pelajaran umum nya saja,ngak bisa belajar yang agamanya, (SARAN AKU) tolong di tambahin pelajaran agamanya dong,kayak fikih,al-quran,akidah,dll. Tolong ya"
8475,"Aplikasi ini sangat sangat membatu saya.. Apalagi banyak soal soal latihan untuk ujian. jadi kita dapat lebih mengerti lagi.. dan harganya juga sangat murah di bandingkan bimbel lainnya.. yuk yg belum join,gk usah ragu ragu.. ini terpercaya lo.. dan kalian bakal gk nyesel deh kalau udah join.."
8476,"Aplikasinya emang sangat bagus dan pelajarannya mudah dipahami,yg belum download buruan.cuma aku ada saran saja untuk ruang guru supaya ditambahkan pelajaran b.arab y soalnya aku tidak mengerti pelajarannya disaat pendemi saat ini dan bingung mau tanya ke siapa.jadi aku mohon di tambahkan pelajaran b.arab Terimah kasih."
8477,It's the best app ever! Walaupun saya lulusan pondok yg gapaham mapel umum apalagi itung2 an😂 app ini sangat membantu saya belajar dengan penjelasan berbagai mapel dengan pelan2 dan penuh ilustrasi yg menarik.. Terimakasih untuk semua pihak yang telah berjuang untuk kemajuan pendidikan Indonesia! 😇 Jazakumullah Khairan Katsiran..
8478,Haii perkenal kan nama saya Lia..pertama kali saya pake ruang guru punya teman saya dan saya tertarik untuk berlangganan di ruang guru..dan nilai saya jadi meningkat pas ikut ruang guru...terima kasih ruang guru..♡
8479,Assalamualaikum.. Aplikasinya bagus... Sangat membantu bagi orang yang kesusahan memahami materi yang di berikan oleh bapak ibu guru. Tapi kenapa setiap saya buka aplikali ruangguru agak lama ya... Padahal jaringan saya bagus
8480,"Wah... Maunya rating star nya lebih dari 5, karena ruang guru ini the best banget lah pokoknya..."
8481,"mantap nh ruang guru makin keren aja, pembahasannya juga menarik, saya tahun lalu pernah berlangganan di ruang guru tapi belum bisa maksimal, tapi untuk langganan tahun ini saya akan lebih semangat lagi dalam mempelajari materi pembelajaran di ruang guru...sukses...yuk kita jadikan Indonesia menjadi negara maju dengan mengubah generasi muda menjadi berkualitas dengan RUANG GURU...."
8482,aplikasi ini sangat membantu dan saya juga jadi semangat lagi belajar nya terimakasih ruang guru sukses terus untuk ruang guru
8483,"aku sukaaaa banget sama aplikasi ruang guru, karena aku bisa olimpiade tingkat provinsi juara 1, dan kakak ku keterima 5 PTN di turki"
8484,Harga terjangkau dan berkualitas Mantap! Terimakasih RG ^_^
8485,Semenjak belajar di RUANG GURU nilai saya semakin naik apa lagi ketika saya tidak masuk sekolah karna sakit jadi bisa belajar di rumah dan saya jugak tidak akan ketinggalan materi pelajaran nya.....terima kasih RUANG GURU☺️ehh satu lagi nih....teman teman harus download ya apk ini karna ini adalah apk bimbel paling baguuuuus deh ☺️😊
8486,"Assalammu'alaikum halo nama saya Namiya..aplikasi ini bagus,membantu dan sangat menyenangkan...makan nya aku kasih bintang lima👍👍maaf kalau ada kata kata yang salah...Wasalamu'alaikum...."
8487,Trimakasih ruang guru. Aplikasi yg sangatt membantu vidio tutor yg bisa sabgat jelas dan mudah dipahami sehingga belajar lebih gampang dan tidak menyusahkan orng lain/orang tua. Menambah wawasan dan sangat memotivasi
8488,"Wah ruangguru sangat amat bagus,tidak ad keluhan apa apa dariku Terima Kasih Telah membimbing ku."
8489,Amazing banget.. mudengin juga materinya . Cuma bisa ngga kalo semisal matematikanya dibuat lebih detail . Kaya DAPET INI DARI MANA gitu .. hehee biar lebih faham . Lainnya udh mantab si cuma itu aja .. trus kadang ada teacher yg menjelaskan cepet .. jd butuh konsentrasi yg tinggi.. hehe.. saya ambil paket sbmptn.. doakan yaa semoga lolos PTN tahun depan.. aminn
8490,"Makasih banget ruangguru💙 , belajar di ruangguru asik dan tidak mudah bosan . Berkat ruangguru , pelajaran yg belum dijelaskan di sekolah sudah ada di ruangguru jadi saat guru menjelaskan aku sudah ngerti"
8491,"terimakasih ruang guru ,berkat pembelajaran yg ada di vidio saya jadi lebih paham dan mengerti pelajaran yg belum sempat di ajarkan di sekolah saya, sehingga saya bisa memperoleh nilai yg lebih baik dari sebelumnya. makasih ruangguru"
8492,Halo perkenalkan saya salwa quruta ainaya dari SDN 2 PURWOSARI Saya sangat berterimakasih kepada RUANG GURU berkat mereka nilai rapot saya di SD bertambah dan berterimakasih saat ada virus covid-19 mereka menggratiskan biaya untuk bimbel disini jadi saya sekarang bisa bimbel tanpa dana.dan maaf kalo sya tidak nyambung tapi saya hanya ingin mengucapkan ini saja;) #akudisinipemulajadijanganbully;(
8493,"Ruang Guru sangat membantu dalam mempermudah metode pembelajaran karena hemat tenaga, gampang untuk mengatur waktu, dan tentunya untuk materi serta tutornya sangat lengkap dan terjamin kualitasnya."
8494,"Makasih ruang guru , saya lebih belajar giat dengan mengunakan aplikasi ini , dulu nilai matematika saya 50,55,60 sekarang nilai saya 100,95,98 pokok nya terima kasih banyak yah...ruang guru..."
8495,"Aku suka banget sama aplikasinya, sangat membantu memahami materi-materi yang sulit. Makanya aku kasih langsung 5 bintang. Semoga kedepannya apk ruangguru semakin bagus lagi😊😊. Kalau boleh gk usah pake data mau nonton video nya😅. Cukup berlangganan saja🤗."
8496,"sukak banget, tapi kenapa yaa min temen"" aku baru daftar ruang guru terus masuk dan meraka dichat langsung sama kakak"" ruang guru, tapi aku kok ngga yaa? masih nunggu kali aja di chat:v"
8497,"Assalamualaikum, saya ARMIS peserta dari Program Kartu Prakerja saya telah menyelesaikan semua pelatihan saya di Skill Akademy by Ruangguru, saya telah mendapatkan 2 setifikat dari Skill Akademy by Ruangguru. Terima kasih Ruangguru atas ilmunya."
8498,Aku miskin gak punya duit beli hp 300 terus duittku habis
8499,"Aplikasi ini bagus dan bermanfaat sekali . Selain video , di sini juga terdapat banyak latihan soal dan kuis . Saran saya bagaimana jika di update berikutnya ditambahkan dark mode supaya tidak bosan"
8500,"Saya filza shafira Mengapa saya memberikan 5bintang kepada ruangguru? karena ruangguru adalah salah satu aplikasi tervavorit saya untuk belajar,bila kesusahan ruangguru selalu siap untuk saya belajar.. Dan alhamdulilah saya dapat renking di kelas."
8501,sangat buruk apk nya......................................................................................eh tapi boong apk nya membantu saya
8502,"Bagus banget deh, ini mah Bimbel Nomor 1 di dunia sih Dengan Harganya Yang Sangat Terjangkau dan Fasilitas, ilmu, Dll sangat Perfect Jadi Saya Saranin Ke Kawan kawan semua Yang mau Bimbel Online Disini Saja 100℅ Gak Nyesel."
8503,"Ruang guru bermanfaat sekali di masa pandemi ini, intinya keren, materinya lengkap, ada latihan soal, apalagi try outnya yang ada setiap hari, jadi aku terbantu banget saat UTBK."
8504,"Hai ka... Aku anak smk nih tapi aku pake aplikasi ini juga ko buat belajar, aku saranin untuk kelas "" nya adain untuk smk juga ka terutama untuk materi kejuruan nya ka... Aku seneng make aplikasi ini memudahkan aku buat belajar walaupun diluar rumah :).Terima kasih ruang guru :)"
8505,"Omg!!! Terimakasih atas devloper ruang guru yang telah membuat aplikasi keren ini dari nilai saya yajg sanagt buruk yaitu 45 dan 70 sekarang nilai saya meningkat pesat menjadi 80,90,bahkan pernah seklai 100 terimakasih ruang guru"
8506,"Saya sekarang msih nge download apk ini ,tapi sya ykin apk ini psti bgus krna temn sya sya berpengalaman sehingga sya jg ingin sekali menjdi ank yg pinter Dan sya ksih bintang ny 5 ,semoga aku makin pintar yh🙏"
8507,Saya senang sekali menggunakan aplikasi ruang guru. Apalagi disaat pandemi ini yg belajar secara online
8508,Sebebarnya saya paling malas untuk belajar apalagi jika sudah banyak mencatat dan membaca. Tapi semenjak memakai apk ruang guru saya merasa senang untuk belajar karena penyampaian materi nya sangat baik. Terimakasih ruang guru.
8509,"Belajar lebih mudah meskipun tidak ada disekolah,karena saat ini kegiatan belajar mengajar dibatasi sebab adanya virus covid-19 saya sangat bersyukur pula karena ruang guru saat ini ada pembelajaran yang gratis program dari pemerintah."
8510,"Awalnya saya sbg orangtua kurang mengetahui adanya aplikasi bimbingan belajar online dg menggunakan aplikasi Ruang Guru ini. Pd waktu acara perayaan 5 tahun Ruangguru di media televisi saya menyaksikan betapa luar biasanya sistem aplikasi ini dengan metode belajar yg disusun berdasarkan kurikulum menggunakan materi & video serta animasi sehingga mudah utk diikuti & dipahami oleh anak. Dibantu oleh guru yg berpengalaman & profesional di bidang nya, sangat revolusioner! Sukses selalu Ruangguru! 👍"
8511,"Alhamdulillah.. Setelah download Ruangguru, saya jadi lebih memahami pelajaran2 disekolah. Terutama matematika, karena video di ruangguru ini bisa diulang2 dan jelas banget nerangin pelajarannya.. Jd murid2 mudah paham sm materinya.. Seneng dehh, selama download ruangguru alhamdulillah ga pernah nyesel downloadnyaa:) semoga sampe seterusnya yaa.. Dan smg aku jg sukses, prestasiku semakin meningkat, dan bisa masuk SMA favorit yg aku mau. Sukses jg buat Ruangguruu💜💜💜"
8512,"Emang bagus sih ruang guru ini tapi saat HP saya stlh di restart dan mau masuk ruang guru dari facebook kok malah ada kata""email anda tidak bisa kami akses, mohon izinkan kami mengakses email anda. Tolong saya ya kasian ortu saya stlh bayarin paket 3 bulan"
8513,"Ruang guru tu asaik buat belajar,tapi yg bikin sedih ruang guru gak bisa di akses secara geratis untuk semua bab jika sudah 7 hari,saya pengen banget berlangganan tapi ortu saya nggk punya uang buat bayar...................andai saja ruangguru itu gratis untuk selamanya,pasti banyak bgt deh yg ikut lebih dari jumlah yg sekarang................saya cuma berharap bisa menggunakan aplikasi ruangguru ini dgn geratis untuk selamanya dan bisa buka semua sub bab secara gratis..........aaammiiiiinn....."
8514,"RG sangat Mantap sekali , videonya makin lama makin menarik , tentunya membuat semangat belajar meningkat karena tidak membosankan, saya sudah menggunakan RG sejak 2 tahun yang lalu, Alhamdulillah nilai saya meningkat terus ,SEMOGA SUKSES SELALU RUANG GURU..."
8515,"Senang bisa belajar di RG, Alhamdulillah nilaiku semakin hari semakin bertambah dan tentunya dikarenakan oleh doa serta usaha, dibantu belajarnya dengan Ruang Guru pasti seru. Terimakasih Ruang Guru"
8516,"Penjelasannya mudah dipahami, untuk harga worth it bangettt karena diruangguru lengkapp bangett mulai dari kurikulmnya dan materi, latihan soal mulai dari yang mudah hingga sulitt, fitur menarikkk, bank soal, dan lain lainn pokoknya terbaikkk"
8517,"Assalamu'alaikum , mau tanya kak ... kalo misalkan kita udah berlangganan di ruang guru terus kita ganti hp ... kita dwonload lgi ruang guru ... , itu harus berlangganan lagi gak sih?"
8518,"Terima kasih ruangguru.Karena nilai saya yang turun menjadi naik dari yang awalnya 60,70 sekarang menjadi 80,90,100"
8519,"Hai,aku wulan makasih ya buat ruang guru,video belajarnya membantu banget, kalo pas aku males buat buka atau baca buku pelajaran,apalagi akhir² ini aku sering ujian,jadi bisa belajar dimana-mana deh,sekali lagi makasih ya buat Ruang guru.🙏"
8520,"menurut saya ini bagus sekali . tetapi saya ingin bertanya , kok saat saya masuk ke semua mata pelajaran (kecuali IPA) kok semua materinya jadi IPA ya? tolong di jawab ya maupun squad atau developer....... bagaimana cara nya yaa tlg di ksh tau"
8521,"Berkat ruang guru saya menjadi lebih semangat belajar karena video animasi yang menarik. Nilai-nilai saya pun menjadi meningkat setelah berlangganan ruang guru, terima kasih ruang guru:))"
8522,Sangat membantu Saya sering mengalami kesulitan dalam belajar dan setelah aku download ruang guru kesulitan ku hilang Cuman sayang saya masuk smk dan mengambil jurusan otomotif Dan di ruang guru belum ada jurusan otomotif Mohon segera di beri jurusan otomotif
8523,"Very good. Mudah dipahami dengan Animasinya walaupun kadang ada yang membosankan tapi yang terpenting gratis walaupun gak semuanya. Sering sering aja digratisin , membantu para rakyat jelata yang ingin belajar Thanks ruang guru"
8524,Terima kasih ruang guru.. Saya dri peserta kartu prakerja. Mengikuti kelas di skill academy ruang guru.. Tutor ny jelas. Penanyangan videony jelas. Kata2ny sangat memotivasi. Sangat mebantuu sekali. 🙏🙏
8525,"Terima kasih Ruangguru,saya adalah peserta Prakerja di skillacademy by Ruangguru,dalam webinar penjelasannya sangat mudah di pahami dan dipelajari,sehingga saya tak bimbang lagi untuk melangkah ke depan,skali lagi terimakasih untuk ruangguru Semoga tambah sukses"
8526,Sangat membantu untuk kita di zaman milenial karena pasti banyak yang malas membanyak buku yang bnyak dengan video lebih gampang mengingat. Insya Allah gampang diingat guyssssss. Semangat belajar Ayoo Ruang Guru membantu kita dalam belajar
8527,"kalo ada bintang 10 aku kasih deh 10, ruang guru membantu banget apalagi di kondisi pandemi ini, udah belajar online kurang paham, mau les ke luar juga takut bahaya, nah ini solusinya❤️"
8528,Alhamdulillah... Ruang guru sangat berperan besar dalam memajukan pendidikan di Indonesia... Membantu guru maupun siswa dalam proses pembelajaran kontemporer sesuai dengan kemajuan zaman... Sukses selalu untuk RUANG GURU...
8529,"ak suka bgt sama aplikasi ini karena biar ak bisa belajar online dan klo misalnya kita lg pengen pinter tapi malahan kita itu males baca buku atau belajar, tapi skrng kan udh ad aplikasi belajar online yaitu RUANG GURU jadi kita bisa deh belajar sambil main hp. Ok cuman segitu dulu dari saya sekali lagi saya terima kasih karna udh buat aplikasi belajar online jadi terima kasih ruang guru😘😘😁😁"
8530,"Ruang guru itu mode pembelajaran yang sangat praktis . Karena kita bisa belajar dimana pun dan kapanpun . Dan pembelajaran ruang guru sangat mudah dipahami jadi kita ngga usah ribet ribet meringkas karena setelah dijalaskan dengan kakak- kakak ruang guru dengan animasi ,kita langsung diberikan riangkasan dan contoh soal .jadi,setelah dijelaskan kita langsung di berikan contoh soal untuk penangkapan materi yang sudah dijelaskan #terima kasih RUANG GURU saya menjadi lebih faham materi2#"
8531,Ruangguru makin mantap dah..😘fitur fitur nya bikin tambah semangat belajar nya...nilai aq yang dulu pas pas an jadi bagus dah...ruang guru bantu aq trs dan ruang guru squad untuk hadapi ujian ujian kedepan...🤗😍
8532,Aplikasi ini sangat bagus sekali untuk para pelajar mulai dr SD sampai SMA.. dan untuk mahasiswa/i.. selain disediakan video pembelajaran juga disediakan latihan-latihan soal yg keren dan terupdate juga pembahasannya sangat dimengerti.. keren sekali
8533,"Saya sangat senang bisa belajar di Ruangguru karena di sini tuh banyak sekali materi yang tidak ada di buku sekolah. Padahal pas ulangan di sekolah itu soalnya nggak ada materinya di buku, untungnya ada Ruangguru, jadi saya bisa mengerjakan semua soal dengan baik. Prestasi saya juga banyak peningkatan. Terima Kasih RUANGGURU... 😊"
8534,"Thanks Ruangguru. Aku pake ruangguru dari kelas 8 semester 2. pas semester 1 ranking ku awal awal semester ranking 3,trs waktu akhir semester nya turun jadi 4 :(. Nah kan waktu smester 2 nya aku langganan ruangguru Alhamdulillah jadi ranking 2 ga nyangka banget 😭. pas UKK naik kls 9 juga aku ttp ranking 2.semoga di kelas 9 ini aku bisa mendapat nilai yang terbaik. thanks ruangguru. sesuka itu sama app nya. 💓"
8535,Usulan mungkin bisa ditambahkan aplikasi Ruang Guru untuk mahasiswa misalnya dengan nama Ruang Kampus atau Ruang Mahasiswa. InsyaaAllah akan sangat membantu sebagai saran belajar mahasiswa apalagi untuk mahasiswa baru. Terimakasih.😀
8536,"Dari skill academy dan ruangguru bisa menambah ilmu bagi peserta prakerja, dengan materi yg masing"" mereka pahami, apalagi kita masih masa pendemi, sangat bermanfaat belajar online d.aplikasi ruangguru, semoga ruangguru selalu sukses"
8537,"Saya suka Appnya bagus tapi tolong di update selanjutnya kasih senjata senjata seperti katana,keris,pedang,sabit si tudung merah,kapak Dll untuk memperbagus Avatarnya😁👌👌👌👌soalnya Avatar saya itu pake bundle ninja"
8538,Aku suka bnget sama ruang guru tpi sayangnya aku sekarang udah gk punya biaya lagi😢semenjak aku buka app ruangguru..nilai matematika sama fisika ku jadi paling besar di sekolah ku...yng asalnya 65 67 70 menjadi 89 92 98 pokonya aku suka bnget sama ruang guru...I need biaya to learning in the ruang guru😢
8539,"Hai kak!! saya bunga sudah 4 tahun saya menggunakan aplikasi ruang guru skrng sya kls 2 SMK, allhamdulilah waktu saya kls 8 dlu saya mendapatkan nilai matematika tertinggi di kls, semenjak ada ruang guru sya sudah bisa matematika😇🙏"
8540,"Mau tanya kak. Kenapa videonya ga bisa dibuka ataupun di download. Padahal jaringan saya lancar, saya buka youtube dan sosmed lain bisa kok. . . Dan juga, memori hape saya masih banyak. Jadi mohon dibantu. Sebab, kalo gini terus saya ga bisa belajar,"
8541,"assalamualaikum warahmatullahi wabarakatuh, saya hanya berbagi info, RG memang bagus bagi para pelajar,apalagi di zaman yg milenial ini sekarang ponsel menjadi kebutuhan, saya di sini hanya mengajak kalian, cause kesuksesan adalah hak setiap orang, makannya saya ingin mengajak para pelajar untuk menjadi generasi unggul bagi bangsa negara dan agama,gunakan ponsel secara bijak wassalamu'alaikum warahmatullahi wabarakatuh"
8542,"Suaranya double di pelajaran matematika , udh dicoba vidio yang lain bisa , tapi cuman pelajaran matematika yang gak bisa suaranya selalu double...tapi saya bangga saat melaporkan langsung deh vidio di pelajaran matematika kembali seperti normal lagi memang gak sia sia anak saya belajar di Ruang Guru 👍🏻"
8543,"Dulu aku pingin belajar biar cepet ngerti pelajaran , search di YouTube banyak tapi agak sulit di pahami ,terus pas aku install ruang guru Alhamdulillah ,video dan pelajarannya mudah dipahami 😊😊"
8544,Terimakasih ruang guru sudah memberikan fasilitas melalui skill academy sehingga saya dapat megikut pelatihan prakerja dengan baik dan mendapat banyak ilmu. Sekarang saya tinggal menunggu sertifikat saja. Semoga ruang guru semakin maju dan sukses selalu.
8545,"Sangat bagus sekali , dulu sy tidk sepintar sekarak semua bekat ruang guru. Terimakasih dari nay dari situbondo Semoga bayak orang yang belajar di ruang guru agar pintat , vidionya , soalnya , materinya sangat bagus sekali , sekali lagi terima kasih"
8546,"•sesudah liat satu materi,mau lanjut ke Vidio selanjutnya suka ada yng muncul dibawah,akhirnya salah pencet keluar dan keluar sehingga xp tidak bisa diperoleh meskipun sudah menonton satu vidio •ketika liat pembahasan soal quis terutama di soal terakhir biasanya suka panjang panjang,jdi ga kebaca smuanya karena ter skip secara otomatis,kalau dlu setau saya bisa selama mungkin liat pembahasan soal, menurut saya sedikit menganggu sekian mohon maaf🙏"
